,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore,areaToBedRatio
0,"  palam vihar, gurgaon",4.26,sector 1,24027.07,house,1773.0,2304.9,1507.05,1773.0,6.0,6.0,"  palam vihar, gurgaon",3.0,north,relatively new property,3,0,0,0,0,0,1,58,295.5
16,"  independent floor at dlf city, v block dlf phase 3, gurgaon",5.31,sector 23,36196.32,house,1467.0,1907.1000000000001,1246.95,1467.0,4.0,5.0,"  independent floor at dlf city, v block dlf phase 3, gurgaon",2.0,east,relatively new property,3,0,1,0,0,0,1,190,366.75
22,"  cyber city, t block, dlf phase 3, gurgaon",8.39,sector 23,29294.69,house,2864.0,3723.2000000000003,2434.4,2864.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,1,0,0,0,0,1,176,477.3333333333333
37,  mrg the balcony,0.66,sector 93,10509.55,flat,628.0,628.0,376.8,471.0,2.0,2.0,"MRG The Balcony Sector 93, Gurgaon",8.0,west,new property,,0,0,0,0,0,2,155,314.0
109,"  sector 46, gurgaon",14.5,sector 46,32222.22,house,4500.0,5850.0,3825.0,4500.0,16.0,20.0,"  sector 46, gurgaon",4.0,north-west,relatively new property,3+,1,1,1,1,0,2,63,281.25
142,  m3m soulitude,1.56,sector 89,10962.75,flat,1423.0,1423.0,924.95,1138.4,3.0,3.0,"M3M Soulitude Sector 89, Gurgaon",1.0,north-east,new property,,0,1,1,0,0,2,144,474.3333333333333
166,"  cyber city, v block dlf phase 3, gurgaon",5.35,sector 23,36148.65,house,1480.0,1924.0,1258.0,1480.0,5.0,5.0,"  cyber city, v block dlf phase 3, gurgaon",2.0,east,relatively new property,3,0,1,0,0,0,1,130,296.0
213,  mapsko paradise,1.35,sector 83,10074.63,flat,1340.0,1340.0,871.0,1072.0,3.0,3.0,"Mapsko Paradise Sector 83, Gurgaon",10.0,north,relatively new property,,0,0,0,0,0,1,221,446.6666666666667
289,  signature global synera,0.65,sector 81,7222.22,flat,900.0,900.0,540.0,675.0,2.0,2.0,"Signature Global Synera Sector 81, Gurgaon",5.0,north-west,relatively new property,,0,0,0,0,0,2,135,450.0
291,"  rajendra park, gurgaon",1.38,sector 105,7459.46,house,1850.0,2405.0,1572.5,1850.0,6.0,6.0,"  rajendra park, gurgaon",2.0,east,relatively new property,2,0,0,0,0,0,2,7,308.3333333333333
298,"  assotech blith, sector 99, gurgaon",7.25,sector 99,27884.62,house,2600.0,3380.0,2210.0,2600.0,7.0,7.0,"  assotech blith, sector 99, gurgaon",1.0,east,under construction,0,0,1,0,0,0,2,95,371.42857142857144
305,  bptp park prime,2.1,sector 66,14563.11,flat,1442.0,1442.0,937.3000000000001,1153.6000000000001,3.0,2.0,"BPTP Park Prime Sector 66, Gurgaon",4.0,north,moderatly old property,,0,0,1,0,0,1,221,480.6666666666667
318,"  block b rajendra park, gurgaon",0.95,sector 105,10555.56,house,900.0,1125.0,720.0,900.0,3.0,2.0,"  block b rajendra park, gurgaon",2.0,north,relatively new property,1,1,0,1,0,1,2,69,300.0
323,"  jyoti park, gurgaon",0.85,sector 7,11805.56,house,720.0,900.0,576.0,720.0,3.0,2.0,"  jyoti park, gurgaon",1.0,north,old property,1,1,0,1,1,0,2,25,240.0
325,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",8.47,sector 23,29782.0,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,6.0,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,182,474.0
338,"  laxman vihar, gurgaon",0.99,sector 4,8761.06,house,1130.0,1412.5,904.0,1130.0,3.0,2.0,"  laxman vihar, gurgaon",1.0,na,old property,2,1,0,0,0,0,2,13,376.6666666666667
345,"  cyber city, t block, dlf phase 3, gurgaon",8.29,sector 23,29149.09,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,east,moderatly old property,3+,0,1,0,0,0,1,166,474.0
361,"  eros rosewood city, block s sector 49, gurgaon",4.15,sector 49,30740.74,house,1350.0,1687.5,1080.0,1350.0,3.0,3.0,"  eros rosewood city, block s sector 49, gurgaon",2.0,east,moderatly old property,2,1,0,0,0,0,1,37,450.0
368,  mapsko paradise,1.35,sector 83,10074.63,flat,1340.0,1340.0,871.0,1072.0,3.0,3.0,"Mapsko Paradise Sector 83, Gurgaon",3.0,north-west,relatively new property,,0,0,0,1,0,1,87,446.6666666666667
410,"  palam vihar, gurgaon",8.0,sector 1,20671.83,house,3870.0,5031.0,3289.5,3870.0,9.0,9.0,"  palam vihar, gurgaon",3.0,west,moderatly old property,3+,1,1,1,0,1,2,199,430.0
417,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",4.1,sector 43,12023.46,house,3410.0,4433.0,2898.5,3410.0,11.0,11.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,north-west,new property,3+,0,0,1,0,0,0,189,310.0
419,  microtek greenburg,2.15,sector 86,14527.03,flat,1480.0,1480.0,962.0,1184.0,3.0,3.0,"Microtek Greenburg Sector 86, Gurgaon",14.0,north,relatively new property,,0,0,1,0,0,1,176,493.3333333333333
434,"  sector 69, gurgaon",6.0,sector 69,26666.67,house,2250.0,2925.0,1912.5,2250.0,6.0,8.0,"  sector 69, gurgaon",3.0,na,under construction,1,0,0,0,1,0,2,39,375.0
476,"  sector 57, gurgaon",6.5,sector 57,45138.89,house,1440.0,1800.0,1152.0,1440.0,3.0,2.0,"  sector 57, gurgaon",4.0,north-west,relatively new property,2,0,0,0,0,0,0,22,480.0
551,"  cyber city, v block dlf phase 3, gurgaon",5.28,sector 23,35991.82,house,1467.0,1907.1000000000001,1246.95,1467.0,5.0,5.0,"  cyber city, v block dlf phase 3, gurgaon",2.0,east,relatively new property,3,1,0,0,0,0,1,164,293.4
554,  pyramid urban homes,0.7,sector 70,8373.21,flat,836.0,836.0,501.59999999999997,627.0,2.0,2.0,"Pyramid Urban Homes Sector 70A, Gurgaon",5.0,north-east,relatively new property,,0,0,0,0,0,2,63,418.0
561,  sare crescent parc,1.55,sector 92,8231.55,flat,1883.0,1883.0,1318.1,1600.55,4.0,3.0,"Sare Crescent Parc Sector 92, Gurgaon",6.0,east,relatively new property,,0,0,0,0,0,2,93,470.75
575,"  sushant lok 1 , sushant lok phase 1, gurgaon",3.6,sector 43,7407.41,house,4860.0,6318.0,4131.0,4860.0,10.0,10.0,"  sushant lok 1 , sushant lok phase 1, gurgaon",4.0,north-east,new property,3+,0,0,0,0,1,0,153,486.0
580,"  sushant lok 1 builder floors, sushant lok phase 1, gurgaon",3.45,sector 43,11616.16,house,2970.0,3861.0,2524.5,2970.0,11.0,11.0,"  sushant lok 1 builder floors, sushant lok phase 1, gurgaon",5.0,north,new property,3+,0,1,0,0,0,0,51,270.0
603,"  new colony, gurgaon",1.25,sector 7,22727.27,house,550.0,687.5,440.0,550.0,3.0,3.0,"  new colony, gurgaon",3.0,west,moderatly old property,3,0,0,0,0,0,2,40,183.33333333333334
621,"  sector 7, gurgaon",4.5,sector 7,20000.0,house,2250.0,2925.0,1912.5,2250.0,8.0,7.0,"  sector 7, gurgaon",3.0,east,old property,3,1,1,1,1,0,1,50,281.25
632,"  laxman vihar phase 2, gurgaon",0.85,sector 46,14529.91,house,585.0,702.0,438.75,585.0,2.0,2.0,"  laxman vihar phase 2, gurgaon",2.0,north,new property,1,1,0,1,0,1,2,44,292.5
711,"  sector 10a, gurgaon",2.4,sector 10,26666.67,house,900.0,1170.0,765.0,900.0,4.0,4.0,"  sector 10a, gurgaon",3.0,east,relatively new property,3+,0,0,1,0,1,2,152,225.0
744,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",3.25,sector 43,11648.75,house,2790.0,3627.0,2371.5,2790.0,9.0,9.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,north-east,relatively new property,3+,0,0,1,0,0,0,181,310.0
764,  sare crescent parc,1.2,sector 92,9600.0,flat,1250.0,1250.0,812.5,1000.0,3.0,2.0,"Sare Crescent Parc Sector 92, Gurgaon",10.0,east,new property,,1,0,0,0,0,2,94,416.6666666666667
771,"  dlf city plots phase 3, t block, dlf phase 3, gurgaon",8.35,sector 23,29298.25,house,2850.0,3705.0,2422.5,2850.0,6.0,6.0,"  dlf city plots phase 3, t block, dlf phase 3, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,0,1,1,174,475.0
795,"  sector 39, gurgaon",4.65,sector 39,27629.23,house,1683.0,2187.9,1430.55,1683.0,7.0,7.0,"  sector 39, gurgaon",2.0,north-east,moderatly old property,3+,0,0,0,0,0,0,25,240.42857142857142
844,"  laxman vihar phase 2, gurgaon",0.7,sector 46,12962.96,house,540.0,648.0,405.0,540.0,2.0,2.0,"  laxman vihar phase 2, gurgaon",2.0,west,old property,1,0,0,1,0,1,2,36,270.0
859,"  luxury kothi dlf phase-1 , dlf phase 1, gurgaon",9.5,sector 26,48717.95,house,1950.0,2535.0,1657.5,1950.0,5.0,6.0,"  luxury kothi dlf phase-1 , dlf phase 1, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,0,63,390.0
878,  green court,0.68,sector 90,10862.62,flat,626.0,626.0,375.59999999999997,469.5,2.0,2.0,"Green Court Sector 90, Gurgaon",12.0,north,new property,,0,0,1,0,0,1,151,313.0
899,  shapoorji pallonji joyville gurugram,1.4,sector 102,15300.55,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",0.0,west,relatively new property,,0,0,0,0,0,2,39,457.5
901,  shapoorji pallonji joyville gurugram,1.4,sector 102,15300.55,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",25.0,north,relatively new property,,0,0,0,0,0,2,138,457.5
934,"  vatika emilia floors, sector 83, gurgaon",1.05,sector 83,11351.35,house,925.0,1110.0,693.75,925.0,2.0,2.0,"  vatika emilia floors, sector 83, gurgaon",2.0,north-east,moderatly old property,2,0,0,0,0,0,1,63,462.5
1016,  pyramid urban homes,0.72,sector 70,8612.44,flat,836.0,836.0,501.59999999999997,627.0,2.0,2.0,"Pyramid Urban Homes Sector 70A, Gurgaon",7.0,north,relatively new property,,0,0,0,0,0,2,110,418.0
1022,"  park facing , dlf phase 2, gurgaon",9.5,sector 25,47979.8,house,1980.0,2574.0,1683.0,1980.0,5.0,6.0,"  park facing , dlf phase 2, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,1,63,396.0
1042,"  palam vihar, gurgaon",4.25,sector 1,23970.67,house,1773.0,2304.9,1507.05,1773.0,6.0,6.0,"  palam vihar, gurgaon",3.0,north,relatively new property,3,0,0,0,0,0,2,32,295.5
1049,"  cyber city, v block dlf phase 3, gurgaon",5.35,sector 23,36468.98,house,1467.0,1907.1000000000001,1246.95,1467.0,4.0,5.0,"  cyber city, v block dlf phase 3, gurgaon",2.0,east,relatively new property,3+,1,0,0,0,0,1,148,366.75
1092,"  surat nagar phase 1, gurgaon",0.54,sector 104,11764.71,house,459.0,550.8,344.25,459.0,2.0,2.0,"  surat nagar phase 1, gurgaon",2.0,south,new property,1,1,0,1,0,1,2,65,229.5
1129,"  vatika primrose floors, sector 82, gurgaon",1.7,sector 82,13375.3,house,1271.0,1588.75,1016.8000000000001,1271.0,3.0,3.0,"  vatika primrose floors, sector 82, gurgaon",3.0,north-east,relatively new property,3,0,0,0,1,0,1,63,423.6666666666667
1154,  signature global city,1.75,sector 37,12152.78,flat,1440.0,1440.0,936.0,1152.0,3.0,3.0,"Signature Global City Sector 37D, Gurgaon",1.0,north-east,new property,,0,0,0,0,0,2,102,480.0
1164,"  laxman vihar phase 2, gurgaon",0.9,sector 46,10000.0,house,900.0,1170.0,765.0,900.0,4.0,3.0,"  laxman vihar phase 2, gurgaon",2.0,north,relatively new property,1,0,0,0,1,0,2,15,225.0
1230,"  cyber city, v block dlf phase 3, gurgaon",5.18,sector 23,31073.79,house,1667.0,2167.1,1416.95,1667.0,5.0,5.0,"  cyber city, v block dlf phase 3, gurgaon",2.0,north-east,relatively new property,3+,1,0,0,0,0,1,166,333.4
1242,"  eros rosewood city, sector 49, gurgaon",4.3,sector 49,31851.85,house,1350.0,1687.5,1080.0,1350.0,3.0,3.0,"  eros rosewood city, sector 49, gurgaon",2.0,east,moderatly old property,3,1,0,0,0,1,2,28,450.0
1319,"  jyoti park, gurgaon",2.0,sector 7,11111.11,house,1800.0,2340.0,1530.0,1800.0,7.0,4.0,"  jyoti park, gurgaon",2.0,na,old property,2,0,0,0,0,0,2,7,257.14285714285717
1354,"  jyoti park, gurgaon",1.9,sector 7,11728.4,house,1620.0,2106.0,1377.0,1620.0,5.0,4.0,"  jyoti park, gurgaon",2.0,north,relatively new property,2,1,1,1,0,1,2,43,324.0
1358,"  block c, sushant lok phase 1, gurgaon",3.55,sector 43,12447.41,house,2852.0,3707.6,2424.2,2852.0,10.0,10.0,"  block c, sushant lok phase 1, gurgaon",5.0,north-east,new property,3+,0,0,0,0,1,0,140,285.2
1418,"  sushant lok phase 2, gurgaon",18.0,sector 56,39840.64,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,16.0,10.0,"  sushant lok phase 2, gurgaon",4.0,east,new property,3+,1,1,1,1,0,0,63,282.375
1426,"  park facing luxury , dlf phase 1, gurgaon",11.0,sector 26,39568.35,house,2780.0,3614.0,2363.0,2780.0,6.0,7.0,"  park facing luxury , dlf phase 1, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,1,0,1,63,463.3333333333333
1448,"  huda flats, sushant lok 3 extension, gurgaon",6.6,sector 57,15260.12,house,4325.0,5622.5,3676.25,4325.0,12.0,13.0,"  huda flats, sushant lok 3 extension, gurgaon",4.0,north-east,new property,3+,0,1,1,1,0,0,159,360.4166666666667
1454,"  vishnu garden, gurgaon",0.67,sector 105,13400.0,house,500.0,625.0,400.0,500.0,3.0,2.0,"  vishnu garden, gurgaon",2.0,north,new property,2,0,0,0,0,0,2,15,166.66666666666666
1464,  shapoorji pallonji joyville gurugram,1.45,sector 102,15846.99,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",8.0,north-east,relatively new property,,0,0,0,0,1,1,148,457.5
1504,  unitech the residences,2.8,sector 33,14973.26,flat,1870.0,1870.0,1309.0,1589.5,4.0,5.0,"Unitech The Residences Sector 33, Gurgaon",14.0,north,moderatly old property,,0,1,0,0,0,1,78,467.5
1519,"  cyber city, t block, dlf phase 3, gurgaon",8.35,sector 23,29536.61,house,2827.0,3675.1,2402.95,2827.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",3.0,north-east,moderatly old property,3+,0,1,0,0,0,1,190,471.1666666666667
1544,  dlf wellgton estate,3.35,sector 54,24014.34,flat,1395.0,1395.0,906.75,1116.0,3.0,3.0,"DLF Wellington Estate DLF Phase 5, Gurgaon",9.0,north-east,old property,,0,0,0,0,0,1,101,465.0
1547,"  cyber city, t block, dlf phase 3, gurgaon",8.19,sector 23,28797.47,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",3.0,east,moderatly old property,3+,0,1,0,0,0,1,182,474.0
1590,"  cyber city, t block, dlf phase 3, gurgaon",8.15,sector 23,28446.77,house,2865.0,3724.5,2435.25,2865.0,6.0,7.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,166,477.5
1591,  mapsko paradise,1.3,sector 83,9701.49,flat,1340.0,1340.0,871.0,1072.0,3.0,3.0,"Mapsko Paradise Sector 83, Gurgaon",6.0,south,moderatly old property,,0,0,0,1,0,1,94,446.6666666666667
1623,"  sector 49, gurgaon",9.75,sector 49,46450.69,house,2099.0,2728.7000000000003,1784.1499999999999,2099.0,5.0,5.0,"  sector 49, gurgaon",3.0,west,relatively new property,2,1,1,0,0,0,1,46,419.8
1626,"  vishnu garden, gurgaon",0.95,sector 105,14615.38,house,650.0,812.5,520.0,650.0,3.0,3.0,"  vishnu garden, gurgaon",2.0,north,relatively new property,2,0,0,0,0,0,2,15,216.66666666666666
1664,"  dlf phase 2, gurgaon",28.75,sector 25,63888.89,house,4500.0,5850.0,3825.0,4500.0,16.0,16.0,"  dlf phase 2, gurgaon",4.0,north-west,new property,3+,1,1,1,1,0,0,63,281.25
1677,"  dipendant house  gurugram , patel nagar, gurgaon",3.7,sector 15,18500.0,house,2000.0,2600.0,1700.0,2000.0,10.0,4.0,"  dipendant house  gurugram , patel nagar, gurgaon",4.0,south-east,relatively new property,3+,1,1,1,1,0,2,7,200.0
1681,"  vatika india next, sector 82, gurgaon",1.3,sector 82,13978.49,house,930.0,1116.0,697.5,930.0,2.0,2.0,"  vatika india next, sector 82, gurgaon",3.0,east,relatively new property,2,0,0,0,1,0,2,107,465.0
1689,"  shapoorji pallonji joyville gurugram, sector 102, gurgaon",1.3,sector 102,13669.82,house,951.0,1141.2,713.25,951.0,2.0,2.0,"  shapoorji pallonji joyville gurugram, sector 102, gurgaon",24.0,east,new property,2,0,0,0,1,0,0,63,475.5
1702,"  ansal, sushant lok phase 2, gurgaon",12.5,sector 56,27777.78,house,4500.0,5850.0,3825.0,4500.0,10.0,10.0,"  ansal, sushant lok phase 2, gurgaon",4.0,east,moderatly old property,3+,1,1,1,0,1,1,103,450.0
1718,  irwo westend towers,1.23,sector 47,13666.67,flat,900.0,900.0,540.0,675.0,2.0,2.0,"IRWO Westend Towers Sector 47, Gurgaon",7.0,south,old property,,0,0,0,0,0,2,63,450.0
1733,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",5.29,sector 23,36059.99,house,1467.0,1907.1000000000001,1246.95,1467.0,4.0,5.0,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",2.0,north-east,relatively new property,3+,0,0,0,0,1,1,156,366.75
1747,"  independent floor at dlf city, t block, dlf phase 3, gurgaon",8.49,sector 23,29852.32,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,6.0,"  independent floor at dlf city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,190,474.0
1758,"  block b rajendra park, gurgaon",2.4,sector 105,13333.33,house,1800.0,2340.0,1530.0,1800.0,15.0,5.0,"  block b rajendra park, gurgaon",2.0,south,moderatly old property,2,1,1,1,0,1,2,43,120.0
